Dates,                  Time_series_A
#,                      Sm3/d
2019-10-01 00:00:00,    8000
2019-11-01 00:00:00,    8000
2019-12-01 00:00:00,    9000
2020-01-01 00:00:00,    9000
2020-02-01 00:00:00,    9000
2020-03-01 00:00:00,    8000
2020-04-01 00:00:00,    8000
2020-05-01 00:00:00,    8000
2020-06-01 00:00:00,    7000
2020-07-01 00:00:00,    7000
2020-08-01 00:00:00,    7000
2020-09-01 00:00:00,    7000
2020-10-01 00:00:00,    6000
2020-11-01 00:00:00,    6000
2020-12-01 00:00:00,    6000
2021-01-01 00:00:00,    6000
2021-02-01 00:00:00,    6000
2021-03-01 00:00:00,    5000
2021-04-01 00:00:00,    5000
