DATE,FLARE_RATE,DIESEL_RATE,COLD_VENTING_FUGITIVE_METHANE_RATE,COLD_VENTING_FUGITIVE_NMVOC_RATE
01.01.2021,15000,7000,360,105
01.02.2021,15000,7000,360,105
01.03.2021,15000,7000,360,105
01.04.2021,15000,7000,360,105
01.05.2021,15000,7000,360,105
01.06.2021,15000,7000,360,105
01.07.2021,15000,10000,360,105
01.08.2021,15000,7000,360,105
01.09.2021,15000,7000,360,105
01.10.2021,15000,7000,360,105
01.11.2021,15000,7000,360,105
01.12.2021,15000,7000,360,105
01.01.2022,10000,6000,420,118
01.01.2023,10000,6000,430,119
01.01.2024,15000,7000,415,117
01.01.2025,10000,6000,440,123
01.01.2026,10000,6000,447,124
01.01.2027,10000,10000,449,125
01.01.2028,15000,7000,426,119
01.01.2029,10000,6000,443,124
01.01.2030,10000,6000,447,125
01.01.2031,10000,6000,447,125
01.01.2032,15000,7000,426,119
01.01.2033,0,0,0,0
